,timestamp,device,uuid,run,walk,step,speed,distance,calorie,hour,date,weekday
0,2021-06-28 00:40:00,watch,JSx5mPAfRC,9,10,19,2.25,17.1,1.52,0,2021-06-28,0
1,2021-06-28 08:06:00,phone,ylwaFgjh59,0,7,7,1.25,5.04,0.32,8,2021-06-28,0
2,2021-06-28 08:07:00,phone,ylwaFgjh59,0,18,18,1.4476879,13.43,0.78999996,8,2021-06-28,0
3,2021-06-28 08:09:00,phone,ylwaFgjh59,2,50,52,1.3055556,40.78,2.59,8,2021-06-28,0
4,2021-06-28 08:10:00,phone,ylwaFgjh59,0,74,74,1.25,55.31,3.25,8,2021-06-28,0
5,2021-06-28 08:11:00,phone,ylwaFgjh59,0,64,64,1.1666666,47.23,2.82,8,2021-06-28,0
6,2021-06-28 08:12:00,phone,ylwaFgjh59,0,77,77,1.3055556,58.12,3.39,8,2021-06-28,0
7,2021-06-28 08:13:00,phone,ylwaFgjh59,0,110,112,1.4386667,86.32,4.94,8,2021-06-28,0
8,2021-06-28 08:14:00,phone,ylwaFgjh59,0,78,76,1.242202,56.980003,3.3599997,8,2021-06-28,0
9,2021-06-28 08:15:00,phone,ylwaFgjh59,0,28,28,1.3587815,21.450005,1.1599998,8,2021-06-28,0
10,2021-06-28 08:16:00,phone,ylwaFgjh59,0,56,56,1.2785485,42.17,2.3299992,8,2021-06-28,0
11,2021-06-28 08:16:00,watch,JSx5mPAfRC,0,90,98,1.263488,72.58,4.1,8,2021-06-28,0
12,2021-06-28 08:17:00,phone,ylwaFgjh59,0,52,89,1.1801437,56.650005,5.789999,8,2021-06-28,0
13,2021-06-28 08:17:00,watch,JSx5mPAfRC,0,103,95,1.25,59.6,5.08,8,2021-06-28,0
14,2021-06-28 08:18:00,phone,ylwaFgjh59,0,45,45,1.1666666,33.22,1.87,8,2021-06-28,0
15,2021-06-28 08:18:00,watch,JSx5mPAfRC,0,12,12,0.9444444,8.33,0.6,8,2021-06-28,0
16,2021-06-28 08:19:00,phone,ylwaFgjh59,0,45,45,1.2222222,33.69,1.85,8,2021-06-28,0
17,2021-06-28 08:19:00,watch,JSx5mPAfRC,0,10,10,1.5,7.69,0.44,8,2021-06-28,0
18,2021-06-28 08:20:00,phone,ylwaFgjh59,0,7,7,1.3055556,5.28,0.31,8,2021-06-28,0
19,2021-06-28 08:20:00,watch,JSx5mPAfRC,0,11,11,1.5277778,8.73,0.45,8,2021-06-28,0
20,2021-06-28 08:21:00,phone,ylwaFgjh59,0,37,85,1.3656029,48.65001,3.4499998,8,2021-06-28,0
21,2021-06-28 08:21:00,watch,JSx5mPAfRC,0,88,88,1.4096335,52.671,3.5,8,2021-06-28,0
22,2021-06-28 08:22:00,phone,ylwaFgjh59,0,73,90,1.3918358,62.670002,3.6899984,8,2021-06-28,0
23,2021-06-28 08:22:00,watch,JSx5mPAfRC,0,105,108,1.4166666,76.27,4.73,8,2021-06-28,0
24,2021-06-28 08:23:00,phone,ylwaFgjh59,0,46,46,1.3471087,34.980007,1.91,8,2021-06-28,0
25,2021-06-28 08:23:00,watch,JSx5mPAfRC,0,40,37,1.4166666,25.31,1.52,8,2021-06-28,0
26,2021-06-28 08:24:00,phone,ylwaFgjh59,0,96,96,1.3055556,72.62,4.18,8,2021-06-28,0
27,2021-06-28 08:25:00,phone,ylwaFgjh59,0,112,112,1.4396666,86.38,4.93,8,2021-06-28,0
28,2021-06-28 08:26:00,phone,ylwaFgjh59,0,50,50,1.4444444,38.73,2.1,8,2021-06-28,0
29,2021-06-28 08:27:00,phone,ylwaFgjh59,0,44,44,1.4166666,33.57,1.92,8,2021-06-28,0
30,2021-06-28 08:28:00,phone,ylwaFgjh59,0,47,47,1.3333334,35.74,2.06,8,2021-06-28,0
31,2021-06-28 08:29:00,phone,ylwaFgjh59,0,63,63,1.3611109,47.77,2.72,8,2021-06-28,0
32,2021-06-28 08:30:00,phone,ylwaFgjh59,0,23,23,1.0067189,16.57,1.05,8,2021-06-28,0
33,2021-06-28 08:30:00,watch,JSx5mPAfRC,0,23,23,0.3101138,16.57,1.05,8,2021-06-28,0
34,2021-06-28 08:31:00,phone,ylwaFgjh59,0,60,60,1.4166666,45.79,2.56,8,2021-06-28,0
35,2021-06-28 08:32:00,phone,ylwaFgjh59,0,92,92,1.25,69.0,3.92,8,2021-06-28,0
36,2021-06-28 08:33:00,phone,ylwaFgjh59,0,31,31,1.5,23.72,1.31,8,2021-06-28,0
37,2021-06-28 08:34:00,phone,ylwaFgjh59,0,52,52,1.2777778,39.15,2.22,8,2021-06-28,0
38,2021-06-28 08:35:00,phone,ylwaFgjh59,0,111,111,1.4055,84.33,4.87,8,2021-06-28,0
39,2021-06-28 08:36:00,phone,ylwaFgjh59,0,93,93,1.3611112,70.44,4.09,8,2021-06-28,0
40,2021-06-28 08:37:00,phone,ylwaFgjh59,0,62,62,1.3333334,46.41,2.69,8,2021-06-28,0
41,2021-06-28 08:38:00,phone,ylwaFgjh59,0,38,41,1.270442,31.260002,1.7600002,8,2021-06-28,0
42,2021-06-28 08:39:00,phone,ylwaFgjh59,0,97,95,1.2887928,71.880005,3.8199997,8,2021-06-28,0
43,2021-06-28 08:39:00,watch,JSx5mPAfRC,0,108,108,1.2722057,75.81,5.33,8,2021-06-28,0
44,2021-06-28 08:40:00,phone,ylwaFgjh59,0,53,78,1.227352,52.21,4.3799996,8,2021-06-28,0
45,2021-06-28 08:40:00,watch,JSx5mPAfRC,0,76,76,1.2908356,39.68,6.04,8,2021-06-28,0
46,2021-06-28 08:41:00,phone,ylwaFgjh59,0,42,42,1.2222222,31.27,1.79,8,2021-06-28,0
47,2021-06-28 08:41:00,watch,JSx5mPAfRC,0,38,38,1.3385285,28.81,1.59,8,2021-06-28,0
48,2021-06-28 08:42:00,phone,ylwaFgjh59,0,5,5,1.2222222,3.74,0.2,8,2021-06-28,0
49,2021-06-28 08:42:00,watch,JSx5mPAfRC,0,11,11,1.4722222,8.44,0.49,8,2021-06-28,0
50,2021-06-28 09:02:00,watch,JSx5mPAfRC,0,25,25,1.3333334,18.69,1.11,9,2021-06-28,0
51,2021-06-28 09:08:00,watch,JSx5mPAfRC,0,21,21,1.6944444,17.261,0.94,9,2021-06-28,0
52,2021-06-28 09:13:00,watch,JSx5mPAfRC,3,11,14,2.0770736,11.941,0.73,9,2021-06-28,0
53,2021-06-28 09:15:00,watch,JSx5mPAfRC,4,10,14,2.6448717,13.73,1.16,9,2021-06-28,0
54,2021-06-28 09:49:00,watch,JSx5mPAfRC,0,10,10,2.3333333,8.29,0.32,9,2021-06-28,0
55,2021-06-28 09:52:00,watch,JSx5mPAfRC,0,20,20,1.5,15.08,0.92,9,2021-06-28,0
56,2021-06-28 09:54:00,watch,JSx5mPAfRC,0,31,31,1.3704586,23.47,1.28,9,2021-06-28,0
57,2021-06-28 10:41:00,watch,JSx5mPAfRC,0,12,12,2.004558,9.94,0.41,10,2021-06-28,0
58,2021-06-28 10:42:00,watch,JSx5mPAfRC,0,20,20,1.1388888,14.52,0.84,10,2021-06-28,0
59,2021-06-28 10:44:00,watch,JSx5mPAfRC,0,15,15,0.8611111,10.27,0.67,10,2021-06-28,0
60,2021-06-28 10:45:00,phone,ylwaFgjh59,0,43,56,1.3054432,39.74,2.3299994,10,2021-06-28,0
61,2021-06-28 10:45:00,watch,JSx5mPAfRC,0,101,105,1.2779884,77.51,4.47,10,2021-06-28,0
62,2021-06-28 10:46:00,phone,ylwaFgjh59,0,48,48,1.3151904,36.420006,1.9599997,10,2021-06-28,0
63,2021-06-28 10:46:00,watch,JSx5mPAfRC,0,107,107,1.3888543,81.951,4.68,10,2021-06-28,0
64,2021-06-28 10:47:00,watch,JSx5mPAfRC,0,1,1,1.5833334,0.789,0.04,10,2021-06-28,0
65,2021-06-28 10:50:00,watch,JSx5mPAfRC,28,10,38,3.0,37.44,3.29,10,2021-06-28,0
66,2021-06-28 10:52:00,watch,JSx5mPAfRC,9,11,20,6.2222223,30.89,2.18,10,2021-06-28,0
67,2021-06-28 10:53:00,phone,ylwaFgjh59,0,13,13,1.3942764,9.83,0.55,10,2021-06-28,0
68,2021-06-28 10:53:00,watch,JSx5mPAfRC,0,39,41,1.4476994,30.71,2.02,10,2021-06-28,0
