,age,gender,w1,w2,w3,w4,notf,track,always,invalid,old,sleep,wake,work,home,uid
0,18,M,,,,,,,1,0,1,1.0,7.5,8.5,10.0,0
1,20,M,,,,,,,0,0,1,0.0,9.0,9.0,18.0,1
2,14,M,w,p,b,b,1.0,1.0,1,0,0,23.0,7.0,8.0,17.5,2
3,24,M,,,,,,,0,0,1,0.0,7.0,8.0,18.0,3
4,53,M,w,p,b,b,1.0,1.0,1,0,0,22.5,5.0,6.0,19.0,4
5,18,M,b,w,b,b,0.0,1.0,1,0,0,2.5,9.5,10.0,18.0,5
6,28,M,p,b,b,p,1.0,0.0,0,0,0,0.0,8.0,8.5,20.0,6
7,51,M,w,p,b,b,1.0,1.0,1,0,0,23.0,6.5,9.0,18.0,7
8,51,M,n,n,w,p,1.0,1.0,1,1,0,23.0,7.0,10.0,17.0,8
9,31,W,w,n,b,b,1.0,0.0,1,0,0,1.0,7.67,8.0,18.0,9
10,20,W,,,,,,,1,1,1,2.0,9.0,9.0,19.0,10
11,43,M,b,w,b,b,1.0,1.0,1,0,0,0.0,7.5,8.0,18.0,11
12,32,M,,,,,,,0,0,1,1.0,8.5,10.0,19.5,12
13,15,M,n,p,w,p,1.0,0.0,1,0,0,0.5,6.0,8.0,22.0,13
14,15,N,,,,,,,0,0,1,0.0,7.0,8.33,22.5,14
15,20,M,,,,,,,1,0,1,2.0,8.0,9.0,16.0,15
16,18,M,b,b,b,b,1.0,0.0,1,0,0,21.0,6.5,6.5,17.5,16
17,21,M,,,,,,,0,1,1,1.0,8.0,10.0,17.0,17
18,24,M,w,b,b,b,0.0,1.0,0,0,0,2.5,10.0,10.5,21.5,18
19,21,M,,,,,,,0,1,1,2.0,9.0,10.0,18.0,19
20,29,M,,,,,,,0,0,1,23.33,7.67,9.0,20.33,20
21,19,M,w,b,b,p,1.0,1.0,0,0,0,0.0,10.0,10.0,18.0,21
22,27,M,,,,,,,0,0,1,0.0,7.33,8.0,17.0,22
23,25,M,p,b,b,p,0.0,1.0,0,0,0,0.0,8.0,9.0,19.0,23
24,24,W,,,,,,,0,1,1,2.0,12.0,12.0,18.0,24
25,20,M,p,p,b,p,1.0,1.0,0,0,0,3.0,9.0,10.0,19.0,25
26,59,M,b,b,b,b,1.0,0.0,1,0,0,0.0,5.5,8.5,18.0,26
27,22,W,p,p,b,p,1.0,1.0,1,0,0,3.0,10.5,11.0,23.99,27
28,33,M,n,p,b,b,1.0,0.0,0,0,0,0.0,6.0,9.0,18.0,28
29,25,M,,,,,,,0,0,1,23.5,7.0,8.5,21.0,29
30,28,M,n,p,b,p,1.0,1.0,0,0,0,0.0,7.0,9.0,20.0,30
31,15,M,n,b,b,p,1.0,1.0,0,1,0,1.0,8.0,8.5,22.0,31
32,22,M,,,,,,,0,0,1,23.0,7.5,13.0,17.5,32
33,33,W,,,,,,,0,0,1,4.0,11.0,11.0,22.0,33
34,28,M,n,p,b,p,1.0,1.0,1,0,0,2.0,10.0,10.0,21.0,34
35,45,M,b,n,b,b,1.0,1.0,0,0,0,23.0,7.0,8.0,18.0,35
36,23,M,p,b,b,p,0.0,1.0,0,0,0,0.0,8.0,9.0,18.0,36
37,26,M,,,,,,,0,0,1,3.0,11.0,12.0,23.99,37
38,23,M,p,b,b,p,0.0,0.0,0,0,0,3.0,10.0,13.0,22.0,38
39,27,W,n,p,b,p,1.0,1.0,1,0,0,2.5,9.0,11.0,21.0,39
40,30,M,,,,,,,0,0,1,22.5,5.5,9.0,18.0,40
41,41,W,b,p,b,p,1.0,1.0,1,0,0,0.0,6.5,9.0,11.0,41
42,20,M,b,p,b,p,1.0,1.0,1,0,0,0.0,7.0,9.0,16.0,42
43,20,M,w,p,b,b,0.0,1.0,0,0,0,2.0,8.0,9.0,16.0,43
44,34,M,,,,,,,1,0,1,23.0,6.0,8.0,18.0,44
45,34,M,n,p,b,p,1.0,1.0,0,0,0,0.0,6.0,8.0,18.0,45
46,20,M,b,b,b,p,1.0,0.0,0,0,0,0.0,7.0,8.0,18.0,46
47,31,M,n,p,b,p,0.0,1.0,0,0,0,1.0,5.0,7.0,23.99,47
48,23,M,n,b,b,b,0.0,0.0,0,0,0,2.0,8.5,10.0,23.99,48
49,18,M,n,b,b,b,0.0,0.0,1,1,0,2.0,9.0,12.0,23.0,49
50,22,M,b,b,b,p,1.0,0.0,1,0,0,23.0,9.0,9.0,18.0,50
51,37,M,,,,,,,1,1,1,22.0,5.5,7.0,16.0,51
52,19,M,,,,,,,1,0,1,0.5,8.0,9.5,16.0,52
53,28,W,b,n,b,w,0.0,1.0,1,0,0,2.0,9.0,10.5,21.0,53
54,30,M,,,,,,,1,1,1,0.0,7.0,9.0,18.0,54
55,40,M,,,,,,,1,0,1,23.5,7.0,9.0,18.0,55
56,35,M,,,,,,,0,0,1,1.5,7.33,9.0,18.0,56
57,28,M,,,,,,,0,0,1,23.0,7.0,8.0,17.0,57
58,28,M,p,w,b,p,0.0,1.0,1,0,0,0.0,7.5,8.0,17.0,58
59,20,M,,,,,,,1,0,1,0.5,8.67,9.0,22.0,59
60,24,M,b,p,b,b,1.0,1.0,1,0,0,2.0,9.0,10.0,18.0,60
61,25,W,,,,,,,1,0,1,0.5,8.33,9.0,20.0,61
62,46,M,,,,,,,1,1,1,2.0,7.0,9.0,19.0,62
63,49,M,p,p,b,b,0.0,1.0,0,0,0,0.0,6.5,8.0,18.0,63
64,24,M,p,b,p,b,0.0,1.0,0,0,0,2.0,10.0,12.0,23.99,64
65,24,M,w,b,b,w,0.0,1.0,0,0,0,2.5,9.5,15.0,22.0,65
66,20,M,,,,,,,0,1,1,1.0,8.5,9.5,6.25,66
67,30,W,n,p,b,p,1.0,0.0,1,0,0,0.0,7.0,8.0,18.5,67
68,20,M,,,,,,,0,0,1,1.0,8.0,7.0,15.0,68
69,47,M,,,,,,,1,0,1,0.0,7.0,9.0,20.0,69
70,23,M,p,n,b,b,0.0,1.0,0,0,0,0.0,7.0,8.0,18.0,70
71,21,W,p,p,b,b,0.0,1.0,1,0,0,3.0,6.0,8.5,13.0,71
72,34,W,b,p,b,p,1.0,1.0,1,0,0,0.5,7.5,8.0,17.67,72
73,45,M,,,,,,,0,0,1,1.0,7.0,9.0,18.0,73
74,29,M,n,p,b,p,1.0,1.0,0,0,0,2.0,7.0,8.0,19.0,74
75,28,M,,,,,,,1,0,1,2.0,7.0,9.0,18.0,75
76,34,M,w,b,b,b,1.0,0.0,1,0,0,21.0,3.0,7.5,18.0,76
77,19,M,,,,,,,0,0,1,4.0,13.0,13.0,22.0,77
78,29,M,p,b,b,p,0.0,1.0,0,0,0,23.5,8.0,8.0,18.0,78
79,28,M,,,,,,,0,0,1,1.0,7.5,9.0,22.0,79
80,43,M,n,p,b,b,0.0,1.0,0,0,0,23.0,6.0,7.0,18.0,80
81,26,M,,,,,,,1,0,1,3.0,10.0,11.0,23.0,81
82,29,M,,,,,,,0,1,1,0.0,7.0,8.5,18.0,82
83,27,M,,,,,,,0,0,1,2.0,9.0,12.0,21.0,83
