UID,VER,VALID,Age,Gender,Smartphone,Wearable,Q1,Q2.1,Q2.2,Q2.3,Q2.4,Q3,Q3.1,Q3.2,Q3.3,Q3.4,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P01,1,,18,M,"SM-G973N, ZTE-V9VITA","Gear S3, Gear Fit2","주로 독서실에 앉아있고, 집으로 이동할때 걸어서 합니다주3회 30분정도 달리기를 합니다",,,,,,,,,,,8:30,22:00,7:30,1:00,산책이나 놀러나갈때 1시간정도 걷습니다,Sleep
P02,1,,20,M,"SM-G965N, SM-G991N",Galaxy Watch,공부 중에는 책상에 앉아서 공부하는 편이고 기타 밥을 먹어야 할 때나 운동할 때 많이 걷거나 뛰는 편입니다매일 가능하면 5km씩 걷습니다. 그리고 이틀에 한번꼴로 6~7km를 달립니다.,,,,,,,,,,,9:00,18:00,9:00,24:00:00,평일과 루틴이 동일합니다. 매일 5km씩 걷고 이틀에 한번 6~7km를 달립니다.,"Sleep, Work, Home"
P03,2,,14,M,"SM-T733, SM-A716S",Galaxy Watch4,"저는 등하교(편도 약 15분), 학원 갔다올때(편도 약 10분) 에 주로 걷습니다.",W,B,W,P,"Exercise, Notf, Sleep",0,1,1,1,Enter,8:00,15:00,7:00,23:00,저는 충전할 때를 제외하고는 항상 워치를 착용하고 있습니다.,"Shower, Work"
P04,1,,24,M,"SM-N976N, SM-N986N",Galaxy Watch,업무를 위해 자주 층간이동을 합니다퇴근후 1시간 이상 산책을합니다,,,,,,,,,,,8:00,18:00,7:00,24:00:00,자주(Often),"Work, Home, Shower, Sleep"
P05,2,,53,M,SM-N986N,"Galaxy Watch4, Gear Fit2","출퇴근 또는 중식후 산책, 업무",W,N,B,B,"Exercise, Notf, Sleep",0,1,1,1,,6:00,19:00,,23:00,충전을 제외한 거의 모튼시간,Shower
P06,2,,18,M,SM-N986N,Galaxy Fit2,"아침, 점심, 저녁 먹으러 나갈때, 기숙사에서 학교 건물로 이동할 때, 친구 만나러 갈때 정도로 밥 먹는 것을 제외하고는 불규칙적입니다.",B,B,B,B,"Exercise, Sleep",0,0,1,1,,,,9:00,2:00,워치는 충전시간을 제외하고 24시간 착용하고 있습니다.,Shower
P07,2,,28,M,"SM-F711N, SM-N976N",Gear S3,"셔틀타고 출근해서 실험하면서 짜잘하게 걷고, 점심과 저녁 먹을 때 걷고, 셔틀타고 퇴근 후 기숙사에 있다가 밤산책을 합니다.",N,P,B,P,Notf,0,1,0,0,Enter,8:30,19:00,7:30,24:00:00,"약속이 있을 때, 악세서리 용으로 시계를 착용하고 싶을 때 착용",Shower
P08,2,,51,M,SM-N971N,"Galaxy Watch4, Galaxy Fit2",자전거로 지하철역 이동하여 출근 이후 사무실에서 근무 점심시간에 3~40분 산책 퇴근시간은 반대로,W,B,B,B,"Notf, DAT",1,1,0,0,Enter,10:00,18:00,7:00,23:00,"주말에도 기상후 착용(수면시에는 밴드, 기상후 워치로 교체 착용)",Shower
P09,2,0,51,M,,,점심산책 및 저녁 운동시간에,W,B,B,B,"DAT, Notf",1,1,0,0,Enter,,,6:30,23:00,워치는 언제나 차고 다님,Shower
P10,2,,31,W,SM-N971N,Galaxy Watch4,저는 차로 회사에 출근해서 실내에서 근무합니다. 실험실에 있다보니 계속 앉아있지는 않습니다. 회사 마치고 최근에 저녁에 산책을 했습니다.,B,B,B,P,"Notf, Sleep",0,1,0,1,Enter,8:10,18:00,7:40,1:00,주말에도 예외없이 착용하고 있습니다.,Shower
