uid,device_group,device_name,deviceuuid
P01,wearable,Gear Fit2,QqkhY6dEVQ
P01,wearable,Gear S3,1vTRFAg9K/
P01,smartphone,SM-G973N,192JILvwU5
P01,smartphone,ZTE-V9VITA,gQY3quxyYo
P02,smartphone,SM-G991N,KnuGdWBX+i
P02,smartphone,SM-G965N,3VDYxdUcZN
P02,wearable,Galaxy Watch,F/ziIyZ5WQ
P03,smartphone,SM-A716S,pWXebulfA1
P03,wearable,Galaxy Watch4,7VZ0JIy3qr
P03,smartphone,SM-T733,45EXTzEHGP
P04,smartphone,SM-N986N,Bnw0HMQytG
P04,wearable,Galaxy Watch,p2FY5OOHQZ
P04,smartphone,SM-N976N,I58GzujEZY
P05,smartphone,SM-N986N,75hpJIeXeQ
P05,wearable,Gear Fit2,hqwNIeyDwH
P05,wearable,Galaxy Watch4,qfKMHBW3i9
P06,smartphone,SM-N986N,neHA12BZrW
P06,wearable,Galaxy Fit2,0rbJQajGFM
P07,smartphone,SM-F711N,ObGwGYoUff
P07,smartphone,SM-N976N,3YnTJXGaCZ
P07,wearable,Gear S3,NegErdYdgg
P08,smartphone,SM-N971N,ROQme73op8
P08,wearable,Galaxy Fit2,yfw4CH5TGJ
P08,wearable,Galaxy Watch4,UCqVBPiM+1
P10,smartphone,SM-N971N,/g+8iWp2oU
P10,wearable,Galaxy Watch4,aGdvdKN03t
P12,smartphone,SM-N976N,2EO044cO0Z
P12,wearable,Galaxy Watch4 Classic,p8HgOD5fkL
P12,wearable,Galaxy Watch4 Classic,HmTEpu3zfV
P13,smartphone,SM-N986N,yvnLQpR7nw
P13,wearable,Galaxy Watch3,LguJEK3j13
P14,smartphone,SM-G991N,/LC9lOpk6Y
P14,smartphone,SM-G887N,JEF1fxTUK0
P14,wearable,Galaxy Watch Active2,Lkfs1yie6S
P15,smartphone,SM-G887N,JEF1fxTUK0
P15,wearable,Galaxy Watch Active2,Lkfs1yie6S
P16,smartphone,SM-G977N,5tadVpM7W0
P16,wearable,Galaxy Fit2,POl12gmXOR
P17,smartphone,SM-N986N,sRwJ6hSvcm
P17,wearable,Galaxy Watch,oLRU1+0EDZ
P18,smartphone,SM-G975F,uh1ubYKoB9
P19,smartphone,SM-G998N,DIMwWxASW7
P19,wearable,Galaxy Watch4,XVxNQ/eDPG
P20,smartphone,SM-G973N,rXrn9aXocZ
P21,smartphone,SM-G975N,iFRqmL+Cl4
P21,wearable,Galaxy Watch,iWQFQbCoW5
P22,smartphone,SM-G986N,D/c1KsOvpx
P22,wearable,Galaxy Watch Active2,UmWC6N5uHD
P23,smartphone,SM-N976N,ylwaFgjh59
P23,wearable,Galaxy Watch Active2,JSx5mPAfRC
P24,smartphone,SM-G991N,7psvO1ePwO
P24,wearable,Galaxy Watch4,Z5ZWt/TEce
P25,smartphone,iPhone 6,5BoAfJSb8J
P25,wearable,Galaxy Fit2,J7p82ao6Du
P26,smartphone,SM-F907N,lzX3k0xk/g
P26,wearable,Galaxy Watch4 Classic,ceS2uOB946
P27,smartphone,SM-N960N,lfJhTQAzQh
P27,wearable,Galaxy Watch4 Classic,Z/k9lFuEE7
P27,wearable,Galaxy Fit2,IKN/MVfA8q
P28,smartphone,SM-N986N,QNhNZVkuJv
P28,wearable,Galaxy Watch4,LqYnT0Xs6A
P29,smartphone,SM-G998N,rk0l0a2JRI
P29,wearable,Galaxy Watch4 Classic,aJuc/IZ1ii
P30,smartphone,SM-G960N,P0HbMFp5HK
P30,wearable,Galaxy Watch Active2,+5auwrrV4G
P31,smartphone,SM-G973N,P0xSDuYZlN
