Topic # 7
Doc: (21, Timestamp('2021-11-13 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-08-03 00:00:00')), Topic Prob: 0.001
Doc: (59, Timestamp('2021-12-01 00:00:00')), Topic Prob: 0.001
Doc: (71, Timestamp('2021-11-14 00:00:00')), Topic Prob: 0.001
Doc: (34, Timestamp('2021-11-12 00:00:00')), Topic Prob: 0.001
Doc: (77, Timestamp('2021-08-17 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-08-09 00:00:00')), Topic Prob: 0.001
Doc: (83, Timestamp('2021-08-04 00:00:00')), Topic Prob: 0.001
Doc: (83, Timestamp('2021-08-06 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-07-19 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-14 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-07-23 00:00:00')), Topic Prob: 0.001
Doc: (58, Timestamp('2021-11-20 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-21 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-08-24 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-08-20 00:00:00')), Topic Prob: 0.001
Doc: (58, Timestamp('2021-11-24 00:00:00')), Topic Prob: 0.001
Doc: (83, Timestamp('2021-07-27 00:00:00')), Topic Prob: 0.001
Doc: (42, Timestamp('2021-11-23 00:00:00')), Topic Prob: 0.001
Doc: (35, Timestamp('2021-11-21 00:00:00')), Topic Prob: 0.001
Doc: (73, Timestamp('2021-11-27 00:00:00')), Topic Prob: 0.001
Doc: (33, Timestamp('2021-07-26 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-08-12 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-08-16 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-08-22 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-17 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-07-28 00:00:00')), Topic Prob: 0.001
Doc: (82, Timestamp('2021-10-22 00:00:00')), Topic Prob: 0.001
Doc: (71, Timestamp('2021-12-02 00:00:00')), Topic Prob: 0.001
Doc: (42, Timestamp('2021-11-30 00:00:00')), Topic Prob: 0.001
Doc: (2, Timestamp('2021-12-06 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-08-27 00:00:00')), Topic Prob: 0.001
Doc: (63, Timestamp('2021-08-15 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-08-29 00:00:00')), Topic Prob: 0.001
Doc: (0, Timestamp('2021-08-15 00:00:00')), Topic Prob: 0.001
Doc: (80, Timestamp('2021-07-18 00:00:00')), Topic Prob: 0.001
Doc: (22, Timestamp('2021-10-29 00:00:00')), Topic Prob: 0.001
Doc: (22, Timestamp('2021-11-11 00:00:00')), Topic Prob: 0.001
Doc: (36, Timestamp('2021-07-19 00:00:00')), Topic Prob: 0.001
Doc: (58, Timestamp('2021-11-25 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-01 00:00:00')), Topic Prob: 0.001
Doc: (6, Timestamp('2021-10-28 00:00:00')), Topic Prob: 0.001
Doc: (3, Timestamp('2021-08-01 00:00:00')), Topic Prob: 0.001
Doc: (59, Timestamp('2021-12-15 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-04 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-06 00:00:00')), Topic Prob: 0.001
Doc: (75, Timestamp('2021-11-29 00:00:00')), Topic Prob: 0.001
Doc: (43, Timestamp('2021-09-05 00:00:00')), Topic Prob: 0.001
Doc: (83, Timestamp('2021-08-11 00:00:00')), Topic Prob: 0.001
------------------------------
Topic # 1
Doc: (33, Timestamp('2021-07-23 00:00:00')), Topic Prob: 0.263
Doc: (3, Timestamp('2021-08-08 00:00:00')), Topic Prob: 0.258
Doc: (32, Timestamp('2021-11-28 00:00:00')), Topic Prob: 0.24
Doc: (33, Timestamp('2021-07-20 00:00:00')), Topic Prob: 0.2
Doc: (33, Timestamp('2021-07-22 00:00:00')), Topic Prob: 0.191
Doc: (3, Timestamp('2021-07-20 00:00:00')), Topic Prob: 0.175
Doc: (33, Timestamp('2021-07-24 00:00:00')), Topic Prob: 0.17
Doc: (80, Timestamp('2021-07-16 00:00:00')), Topic Prob: 0.156
Doc: (3, Timestamp('2021-08-14 00:00:00')), Topic Prob: 0.154
Doc: (3, Timestamp('2021-07-22 00:00:00')), Topic Prob: 0.153
Doc: (3, Timestamp('2021-08-11 00:00:00')), Topic Prob: 0.153
Doc: (3, Timestamp('2021-07-27 00:00:00')), Topic Prob: 0.153
Doc: (3, Timestamp('2021-08-06 00:00:00')), Topic Prob: 0.153
Doc: (59, Timestamp('2021-12-01 00:00:00')), Topic Prob: 0.152
Doc: (3, Timestamp('2021-07-25 00:00:00')), Topic Prob: 0.152
Doc: (43, Timestamp('2021-08-28 00:00:00')), Topic Prob: 0.151
Doc: (33, Timestamp('2021-07-18 00:00:00')), Topic Prob: 0.14
Doc: (3, Timestamp('2021-08-02 00:00:00')), Topic Prob: 0.133
Doc: (83, Timestamp('2021-08-05 00:00:00')), Topic Prob: 0.132
Doc: (0, Timestamp('2021-08-01 00:00:00')), Topic Prob: 0.13
Doc: (3, Timestamp('2021-07-28 00:00:00')), Topic Prob: 0.129
Doc: (3, Timestamp('2021-07-21 00:00:00')), Topic Prob: 0.129
Doc: (68, Timestamp('2021-08-08 00:00:00')), Topic Prob: 0.129
Doc: (3, Timestamp('2021-08-05 00:00:00')), Topic Prob: 0.128
