loading...
Topic # 1
Doc: ('P03', Timestamp('2021-11-30 00:00:00'), 19.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-08-16 00:00:00'), 8.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-15 00:00:00'), 13.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-23 00:00:00'), 11.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-01 00:00:00'), 17.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-01 00:00:00'), 13.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 18.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 14.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-23 00:00:00'), 12.0), Topic Prob: 0.98
Doc: ('P02', Timestamp('2021-08-07 00:00:00'), 18.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 19.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-23 00:00:00'), 16.0), Topic Prob: 0.98
Doc: ('P02', Timestamp('2021-08-07 00:00:00'), 11.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-01 00:00:00'), 12.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-30 00:00:00'), 13.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-14 00:00:00'), 19.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 22.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 5.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-15 00:00:00'), 8.5), Topic Prob: 0.98
Doc: ('P02', Timestamp('2021-08-08 00:00:00'), 9.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 4.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-28 00:00:00'), 20.5), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 17.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-27 00:00:00'), 18.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-30 00:00:00'), 12.5), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-24 00:00:00'), 2.0), Topic Prob: 0.98
Doc: ('P04', Timestamp('2021-07-29 00:00:00'), 9.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-15 00:00:00'), 8.0), Topic Prob: 0.98
Doc: ('P05', Timestamp('2021-10-15 00:00:00'), 6.5), Topic Prob: 0.98
Doc: ('P02', Timestamp('2021-08-06 00:00:00'), 18.0), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-12-01 00:00:00'), 10.0), Topic Prob: 0.95
Doc: ('P01', Timestamp('2021-08-15 00:00:00'), 21.5), Topic Prob: 0.95
