UID,Smartphone,Wearable
P01,"SM-G973N, ZTE-V9VITA","Gear S3, Gear Fit2"
P02,"SM-G965N, SM-G991N",Galaxy Watch
P03,"SM-T733, SM-A716S",Galaxy Watch4
P04,"SM-N976N, SM-N986N",Galaxy Watch
P05,SM-N986N,"Galaxy Watch4, Gear Fit2"
P06,SM-N986N,Galaxy Fit2
P07,"SM-F711N, SM-N976N",Gear S3
P08,SM-N971N,"Galaxy Watch4, Galaxy Fit2"
P10,SM-N971N,Galaxy Watch4
P12,SM-N976N,Galaxy Watch4 Classic
P13,SM-N986N,Galaxy Watch3
P14,"SM-G991N, SM-G887N",Galaxy Watch Active2
P15,SM-G887N,Galaxy Watch Active2
P16,SM-G977N,Galaxy Fit2
P17,SM-N986N,Galaxy Watch
P18,SM-G975F,
P19,SM-G998N,Galaxy Watch4
P20,SM-G973N,
P21,SM-G975N,Galaxy Watch
P22,SM-G986N,Galaxy Watch Active2
P23,SM-N976N,Galaxy Watch Active2
P24,SM-G991N,Galaxy Watch4
P25,iPhone 6,Galaxy Fit2
P26,SM-F907N,Galaxy Watch4 Classic
P27,SM-N960N,"Galaxy Watch4 Classic, Galaxy Fit2"
P28,SM-N986N,Galaxy Watch4
P29,SM-G998N,Galaxy Watch4 Classic
P30,SM-G960N,Galaxy Watch Active2
P31,SM-G973N,Galaxy Watch4
P32,iPhone 6,Galaxy Watch
P33,SM-G981N,Galaxy Watch3
P34,SM-N986N,Gear S3
P35,SM-G781N,Galaxy Watch4
P36,SM-N976N,"Galaxy Watch4, Galaxy Watch4 Classic, Galaxy Watch Active2"
P37,SM-G977N,Galaxy Watch4
P38,SM-G970N,Galaxy Watch Active2
P39,SM-G991N,Galaxy Fit2
P40,SM-G973N,Galaxy Watch4
P41,SM-G981N,Galaxy Watch Active2
P42,SM-N981N,Galaxy Watch4
P43,SM-N986N,Galaxy Watch4
P44,SM-N986N,Galaxy Watch4
P45,SM-N971N,Galaxy Watch3
P46,SM-G998N,Galaxy Watch4
P47,SM-G970N,"Galaxy Watch4, Galaxy Fit2"
P48,SM-G977N,Galaxy Watch4 Classic
P49,SM-G885S,Galaxy Watch Active2
P50,,Galaxy Watch3
P51,SM-N971N,Galaxy Watch Active2
P53,SM-N976N,"Galaxy Fit2, Galaxy Watch Active2"
P54,SM-G977N,Galaxy Watch Active
P55,SM-N971N,
P56,SM-G986N,Galaxy Fit2
P57,SM-N976N,"Galaxy Watch4, Galaxy Watch Active2"
P58,SM-G975N,Galaxy Watch Active2
P59,SM-F700N,Galaxy Fit2
P60,SM-N986N,"Galaxy Watch4, Galaxy Watch Active2"
P61,SM-G977N,Galaxy Watch4 Classic
P62,SM-G981N,Galaxy Fit
P63,SM-N976N,
P64,SM-G991N,"Galaxy Watch4 Classic, Galaxy Watch"
P65,SM-F711N,Galaxy Watch4
P66,SM-G781N,Galaxy Watch4
P67,,Galaxy Fit2
P68,SM-G973N,Galaxy Watch4
P69,SM-N975F,Galaxy Watch Active
P70,LM-V500N,Gear S3
P71,SM-G991N,Galaxy Watch4
P72,SM-N960N,Galaxy Watch4
P73,SM-N981N,Galaxy Watch4 Classic
P74,SM-G977N,Galaxy Watch3
P75,SM-G970N,Galaxy Fit2
P76,SM-G970N,Galaxy Watch4
P77,SM-N976N,Galaxy Watch4
P78,SM-G977N,Galaxy Watch Active2
P79,SM-F711N,Galaxy Watch Active2
P80,SM-N976N,Galaxy Fit2
P81,SM-A716S,Galaxy Watch Active2
P82,SM-N960N,Galaxy Watch3
P84,"SM-N935S, SM-N971N",Galaxy Watch Active
P85,SM-N976N,Galaxy Watch4
P86,"SM-G965N, SM-G930S",
P87,SM-N986N,Galaxy Watch3
P88,SM-N950N,Galaxy Watch4
P89,SM-A516N,Galaxy Fit2
P90,SM-N976N,Galaxy Watch3
P91,"SM-G960N, SM-G998N",Galaxy Watch3
P92,SM-N976N,Galaxy Watch Active2
P93,"SM-G986N, SM-A520L",
P94,,Galaxy Watch4 Classic
P95,SM-G973N,Galaxy Watch3
P96,SM-N971N,Galaxy Watch Active2
P97,"SM-G960N, SM-F711N","Galaxy Watch4, Gear S3, Galaxy Fit2"
P98,SM-F926N,Galaxy Watch Active2
P99,"SM-G981N, SM-F711N","Galaxy Watch4 Classic, Galaxy Watch"
