Phone Exercise Day difference: 0.059 users: 28, days:135
        uid       date  weekday  hour    pstep         SPM
1173    P02 2021-07-17        5    15   3170.0   88.055556
1201    P02 2021-07-19        0    12   4147.0   98.738095
3357    P04 2021-07-16        4     6   1187.0  107.909091
3384    P04 2021-07-17        5     7   1015.0  112.777778
3490    P04 2021-07-20        1     6   1094.0  109.400000
3526    P04 2021-07-21        2     6   1113.0  101.181818
3569    P04 2021-07-22        3     6   1127.0  102.454545
3631    P04 2021-07-24        5     7   1055.0  105.500000
3693    P04 2021-07-26        0     6   1159.0  105.363636
3728    P04 2021-07-27        1     6   1071.0  107.100000
3818    P04 2021-07-29        3     6   1072.0  107.200000
3906    P04 2021-07-31        5     6   1050.0  105.000000
3952    P04 2021-08-01        6     7   1033.0  103.300000
4023    P04 2021-08-02        0     6   1104.0  100.363636
4168    P04 2021-08-05        3     6   1069.0  106.900000
4205    P04 2021-08-06        4     6   1019.0  113.222222
4243    P04 2021-08-07        5     7   1013.0  112.555556
4278    P04 2021-08-08        6     0   3686.0   94.512821
4284    P04 2021-08-08        6     6   1146.0  104.181818
4330    P04 2021-08-09        0     7   1151.0  104.636364
4360    P04 2021-08-10        1     6   1181.0  107.363636
4415    P04 2021-08-11        2     6   1048.0  104.800000
4470    P04 2021-08-12        3     6   1009.0  112.111111
4519    P04 2021-08-13        4     6   1069.0  106.900000
4574    P04 2021-08-14        5    19   3826.0   88.976744
4631    P04 2021-08-16        0     7   1104.0  110.400000
9010    P07 2021-10-27        2    21   2440.0  101.666667
9011    P07 2021-10-27        2    21   1220.0  101.666667
9020    P07 2021-10-27        2    23   1260.0  105.000000
9626    P07 2021-11-08        0    22   3076.0   99.225806
9779    P07 2021-11-10        2    21   1677.0  104.812500
9985    P07 2021-11-14        6    15   2165.0  103.095238
9990    P07 2021-11-14        6    18   1035.0  103.500000
10360   P07 2021-11-22        0    21   3470.0  102.058824
10530   P07 2021-11-26        4    19   1997.0  110.944444
20107   P13 2021-08-16        0    21   6875.0  102.611940
23946   P16 2021-07-26        0    20   4143.0   82.860000
