,run_step,walk_step,timestamp,count,speed,distance,calorie,uuid,device
0,0,6,2021-07-13 00:14:00,6,1.0833334,4.02,0.15,4qNdyOwT3G,phone
1,0,7,2021-07-13 00:26:00,7,0.91666675,4.64,0.18,4qNdyOwT3G,phone
2,0,14,2021-07-13 12:22:00,14,0.8630692,9.036,0.33,DuV1ecgLJQ,watch
3,0,12,2021-07-13 13:20:00,12,0.8055556,7.64,0.3,DuV1ecgLJQ,watch
4,0,10,2021-07-13 13:21:00,10,0.8333333,6.37,0.29,DuV1ecgLJQ,watch
5,0,12,2021-07-13 13:22:00,12,1.3611112,8.59,0.32,DuV1ecgLJQ,watch
6,0,2,2021-07-13 13:23:00,2,1.25,1.38,0.05,DuV1ecgLJQ,watch
7,0,25,2021-07-13 13:47:00,25,1.322671,17.760002,0.49,4qNdyOwT3G,phone
8,0,12,2021-07-13 13:50:00,12,1.0,8.05,0.31,4qNdyOwT3G,phone
9,0,24,2021-07-13 13:51:00,44,1.25,25.98,0.96,4qNdyOwT3G,phone
10,0,20,2021-07-13 13:51:00,26,1.5010431,19.204,0.56,DuV1ecgLJQ,watch
11,0,95,2021-07-13 13:52:00,95,1.3519958,68.53001,2.079999,4qNdyOwT3G,phone
12,0,104,2021-07-13 13:52:00,98,1.251388,69.555,2.08,DuV1ecgLJQ,watch
13,0,75,2021-07-13 13:53:00,75,1.3577999,54.32998,1.5399992,4qNdyOwT3G,phone
14,0,59,2021-07-13 13:53:00,59,1.2564626,41.896,1.22,DuV1ecgLJQ,watch
15,0,38,2021-07-13 13:54:00,38,1.3333334,27.37,0.83,4qNdyOwT3G,phone
16,0,48,2021-07-13 13:54:00,48,1.3055556,34.22,1.05,DuV1ecgLJQ,watch
17,0,105,2021-07-13 13:55:00,116,1.3888888,82.63,2.36,4qNdyOwT3G,phone
18,0,117,2021-07-13 13:55:00,117,1.4235,85.41,2.35,DuV1ecgLJQ,watch
19,0,110,2021-07-13 13:56:00,110,1.3611112,79.69,2.31,4qNdyOwT3G,phone
20,0,105,2021-07-13 13:56:00,105,1.3611112,76.02,2.17,DuV1ecgLJQ,watch
21,0,109,2021-07-13 13:57:00,109,1.3333334,78.72,2.21,4qNdyOwT3G,phone
22,0,106,2021-07-13 13:57:00,106,1.3333334,76.46,2.12,DuV1ecgLJQ,watch
23,0,117,2021-07-13 13:58:00,117,1.4229999,85.37999,2.3499994,4qNdyOwT3G,phone
24,0,111,2021-07-13 13:58:00,111,1.3863007,80.947,2.24,DuV1ecgLJQ,watch
